ID,NAME,DEPARTMENT,JOB,GENDER,HIRE_DATE,ADDRESS,PHONE
1,Bedding,Support,Part-time Personnel,Male,2004/4/11,316 Ludington Drive,9488343309
2,Barnett,Services,Public Relations Supervisor,Male,2008/4/2,024 Ohio Trail,3642443475
3,Sandcroft,Sales,Sales Supervisor,Male,2020/12/12,1063 Johnson Trail,3834135004
4,Pakeman,Accounting,Finance Analyst,Female,2001/2/14,28865 Lake View Alley,9485208398
5,Pettisall,Accounting,Finance Analyst,Female,2020/3/4,13678 Thierer Hill,7215920139
6,Jockle,Research and Development,Software Project Supervisor,Male,2015/11/29,2602 Forest Court,6951335637
7,Jacquemot,Legal,Of Counsel,Male,2002/9/18,57 Express Terrace,5386929680
8,Braywood,Human Resources,Human Resources Specialist,Female,2019/2/11,45 Delaware Place,4809081066
9,Baford,Product Management,Production Manager,Female,2011/6/19,5801 Northview Place,2859482664
10,Cranfield,Research and Development,System Analyst,Male,2003/9/2,07 Veith Park,6343052504
11,Shingler,Legal,Legal Assistant,Female,2013/3/2,26265 Drewry Circle,1047348286
12,Brimelow,Engineering,Electronics Engineer,Male,2021/11/5,78 Declaration Circle,9867923042
13,Deason,Research and Development,Website Programmer,Male,2006/5/23,11700 Hermina Court,9065861983
14,Leivers,Research and Development,Chief Technology Officer,Male,2015/7/4,57 Erie Center,1768126836
15,Malcolmson,Sales,Sales Account Manager,Female,2014/8/9,2730 Arrowood Plaza,2615363357
16,Kondratowicz,Services,Media Specialist,Male,2002/1/8,6 Express Parkway,6449343985
17,Redbourn,Training,company lecturer,Male,2012/6/11,8697 Loeprich Circle,2154814041
18,Jumeau,Research and Development,Software Program Designer,Male,2018/9/18,866 Stephen Court,8384718583
19,Bortolini,Research and Development,IT Specialist,Female,2020/2/1,16697 Garrison Road,5442063583
20,de Aguirre,Research and Development,System Engineer,Female,2020/3/25,5 Heath Drive,4167647548
21,Vivians,Legal,Of Counsel,Female,2012/8/17,4 Division Center,7174860333
22,Stapele,Accounting,Cost Accounting Manager,Female,2001/2/4,98 Lighthouse Bay Hill,7026659851
23,Rowell,Support,Office,Male,2002/1/1,50200 Carberry Junction,9451539168
24,Ende,Support,Secretary,Male,2001/1/11,45414 New Castle Junction,5105822981
25,Malham,Human Resources,Human Resources Supervisor,Male,2003/9/19,8714 Dottie Street,8679034050
26,Cahillane,Engineering,IC Process Engineer,Female,2015/4/8,02599 Del Mar Plaza,7926345328
27,Lymer,Marketing,Logistics Manager,Male,2002/8/25,52 Paget Pass,9336082159
28,Mardlin,Human Resources,Human Resources Supervisor,Male,2016/11/17,08695 La Follette Trail,2343933383
29,Sarton,Product Management,Operations Manager,Male,2001/8/1,57830 Ridgeway Place,3855973698
30,Meddows,Human Resources,Human Resources Specialist,Male,2004/6/27,8 Elgar Place,5704942773
31,Coker,Human Resources,Human Resources Manager,Male,2021/9/28,08361 Fisk Lane,2116049226
32,Mundell,Research and Development,Senior Hardware Engineer,Male,2007/3/20,65046 Hoffman Road,4224014805
33,Shere,Product Management,Quality Assurance Engineer,Male,2013/4/8,6422 Chive Park,6467922393
34,Van der Daal,Engineering,Optoeletronics Engineer,Female,2000/6/22,1 Grayhawk Circle,5993270962
